date,entry_bar,exit_bar,hold_bars,direction,atm_strike,synth_strike,entry_ce,entry_pe,entry_sce,entry_spe,exit_ce,exit_pe,exit_sce,exit_spe,entry_spread,exit_spread,arb_gross,synth_gross,lot_size,gross_pnl,charges,net_pnl,exit_reason,month
20251210,2025-12-10 13:07:00+05:30,2025-12-10 13:12:00+05:30,5,+1 (sell CE / buy CE@ATM-100),59600,59500,441.7,757.0,485.3,700.0,442.4,759.65,486.5,701.85,25.1,0.75,68.25,-22.75,35,45.5,387.03,-341.53,Revert,2025-12
20251210,2025-12-10 13:17:00+05:30,2025-12-10 13:21:00+05:30,4,+1 (sell CE / buy CE@ATM-100),59600,59500,437.35,771.45,480.45,711.2,454.35,734.45,502.1,676.1,30.9,2.3,-1890.0,1986.25,35,96.25,386.78,-290.53,Revert,2025-12
20251210,2025-12-10 14:29:00+05:30,2025-12-10 14:32:00+05:30,3,+1 (sell CE / buy CE@ATM-100),59600,59500,413.15,809.85,450.0,749.75,423.1,781.3,464.55,728.0,25.5,4.8,-1347.5,1270.5,35,-77.0,388.82,-465.82,Revert,2025-12
20251210,2025-12-10 14:39:00+05:30,2025-12-10 15:02:00+05:30,23,+1 (sell CE / buy CE@ATM-100),59600,59500,429.9,765.05,472.65,709.6,448.65,737.45,493.5,682.35,26.85,3.4,-1622.25,1683.5,35,61.25,385.58,-324.33,Revert,2025-12
20251210,2025-12-10 15:07:00+05:30,2025-12-10 15:24:00+05:30,17,+1 (sell CE / buy CE@ATM-100),59600,59500,437.5,755.5,478.85,703.25,426.55,794.55,471.0,737.3,27.4,22.4,1750.0,-1466.5,35,283.5,388.46,-104.96,EOD,2025-12
20251211,2025-12-11 09:37:00+05:30,2025-12-11 09:42:00+05:30,5,+1 (sell CE / buy CE@ATM-100),59400,59300,513.95,635.75,559.0,591.0,465.5,694.9,509.3,647.4,27.0,2.8,3766.0,-3713.5,35,52.5,380.49,-327.99,Revert,2025-12
20251212,2025-12-12 10:30:00+05:30,2025-12-12 10:31:00+05:30,1,+1 (sell CE / buy CE@ATM-100),59700,59600,464.0,568.0,512.8,518.4,467.65,564.6,516.8,515.95,25.0,-2.95,-246.75,225.75,35,-21.0,360.16,-381.16,Revert,2025-12
20251219,2025-12-19 10:10:00+05:30,2025-12-19 10:13:00+05:30,3,+1 (sell CE / buy CE@ATM-100),59300,59200,364.65,430.8,416.25,380.5,351.8,446.95,400.5,395.95,27.85,3.85,1015.0,-1092.0,35,-77.0,321.06,-398.06,Revert,2025-12
20260105,2026-01-05 11:15:00+05:30,2026-01-05 11:19:00+05:30,4,-1 (buy CE / sell CE@ATM-100),60400,60300,635.25,567.1,692.95,523.25,624.05,574.2,681.5,531.4,-28.25,-2.15,-549.0,588.0,30,39.0,360.68,-321.68,Revert,2026-01
20260116,2026-01-16 13:49:00+05:30,2026-01-16 14:19:00+05:30,30,-1 (buy CE / sell CE@ATM-100),59900,59800,608.35,364.05,674.25,326.2,595.7,364.3,654.5,323.8,-26.1,-9.2,-387.0,520.5,30,133.5,328.07,-194.57,MaxHold,2026-01
20260116,2026-01-16 14:38:00+05:30,2026-01-16 15:05:00+05:30,27,-1 (buy CE / sell CE@ATM-100),59900,59800,590.05,357.25,670.2,319.0,608.95,356.95,669.65,318.8,-34.0,-5.0,576.0,10.5,30,586.5,327.68,258.82,Revert,2026-01
20260122,2026-01-22 12:07:00+05:30,2026-01-22 12:09:00+05:30,2,+1 (sell CE / buy CE@ATM-100),59600,59500,172.95,685.6,203.0,620.35,174.95,674.3,206.45,609.65,26.55,-3.35,-399.0,424.5,30,25.5,307.92,-282.42,Revert,2026-01
20260123,2026-01-23 11:41:00+05:30,2026-01-23 11:43:00+05:30,2,+1 (sell CE / buy CE@ATM-100),59300,59200,197.6,406.25,239.85,349.55,205.45,390.85,250.85,332.1,26.35,-0.4,-697.5,853.5,30,156.0,273.33,-117.33,Revert,2026-01
20260127,2026-01-27 10:11:00+05:30,2026-01-27 10:12:00+05:30,1,+1 (sell CE / buy CE@ATM-100),58200,58100,495.25,76.95,577.25,60.05,499.95,76.55,583.4,59.7,27.7,-3.0,-153.0,195.0,30,42.0,275.26,-233.26,Revert,2026-01
20260127,2026-01-27 10:53:00+05:30,2026-01-27 10:54:00+05:30,1,-1 (buy CE / sell CE@ATM-100),58200,58100,309.1,124.15,381.85,93.9,335.95,109.15,411.45,83.45,-53.65,-0.4,1255.5,-1201.5,30,54.0,254.63,-200.63,Revert,2026-01
20260127,2026-01-27 12:16:00+05:30,2026-01-27 12:17:00+05:30,1,-1 (buy CE / sell CE@ATM-100),58200,58100,519.0,27.7,614.8,20.4,538.15,27.4,630.35,19.6,-28.3,-4.05,583.5,-490.5,30,93.0,274.17,-181.17,Revert,2026-01
20260127,2026-01-27 13:34:00+05:30,2026-01-27 13:36:00+05:30,2,-1 (buy CE / sell CE@ATM-100),58200,58100,565.25,11.15,666.1,7.95,518.65,14.15,617.2,9.95,-25.9,1.1,-1488.0,1527.0,30,39.0,274.6,-235.6,Revert,2026-01
20260127,2026-01-27 14:59:00+05:30,2026-01-27 15:03:00+05:30,4,-1 (buy CE / sell CE@ATM-100),58200,58100,843.45,1.35,989.75,1.45,866.5,0.85,958.25,0.95,-32.9,-4.35,706.5,930.0,30,1636.5,320.33,1316.17,Revert,2026-01
20260129,2026-01-29 10:41:00+05:30,2026-01-29 10:55:00+05:30,14,-1 (buy CE / sell CE@ATM-100),59700,59600,947.3,848.65,1011.45,803.0,1016.05,800.65,1075.4,760.4,-28.75,-0.0,3502.5,-3196.5,30,306.0,447.46,-141.46,Revert,2026-01
20260129,2026-01-29 13:28:00+05:30,2026-01-29 13:30:00+05:30,2,-1 (buy CE / sell CE@ATM-100),59700,59600,1073.35,698.95,1134.55,659.95,1082.35,690.0,1144.25,654.6,-25.8,2.95,538.5,-451.5,30,87.0,442.85,-355.85,Revert,2026-01
20260129,2026-01-29 14:35:00+05:30,2026-01-29 14:41:00+05:30,6,-1 (buy CE / sell CE@ATM-100),59700,59600,1138.85,660.8,1200.8,625.8,1170.0,657.2,1229.5,621.85,-26.15,-2.8,1042.5,-979.5,30,63.0,448.77,-385.77,Revert,2026-01
20260129,2026-01-29 14:42:00+05:30,2026-01-29 14:59:00+05:30,17,-1 (buy CE / sell CE@ATM-100),59700,59600,1171.25,658.55,1230.45,622.35,1150.0,653.65,1211.65,622.0,-26.5,1.35,-490.5,553.5,30,63.0,449.31,-386.31,Revert,2026-01
