date,opt_type,strike,direction,entry_time,exit_time,opt_entry,opt_exit,lot_size,gross_pnl,charges,pnl,exit_reason,month
20260309,CE,55900,LONG,2026-03-09 11:43:00.467000+05:30,2026-03-09 12:12:00.393000+05:30,1595.75,1526.45,30,-2079.0,156.77,-2235.77,Flip,2026-03
20260309,CE,55900,SHORT,2026-03-09 12:12:00.393000+05:30,2026-03-09 12:20:00.890000+05:30,1526.45,1507.85,30,558.0,155.58,402.42,Flip,2026-03
20260309,CE,55900,LONG,2026-03-09 12:20:00.890000+05:30,2026-03-09 12:26:00.387000+05:30,1507.85,1517.7,30,295.5,155.07,140.43,Flip,2026-03
20260309,CE,55900,SHORT,2026-03-09 12:26:00.387000+05:30,2026-03-09 12:33:00.185000+05:30,1517.7,1513.5,30,126.0,155.15,-29.15,Flip,2026-03
20260309,CE,55900,LONG,2026-03-09 12:33:00.185000+05:30,2026-03-09 12:38:00.189000+05:30,1513.5,1524.5,30,330.0,155.54,174.46,Flip,2026-03
20260309,CE,55900,SHORT,2026-03-09 12:38:00.189000+05:30,2026-03-09 12:48:00.087000+05:30,1524.5,1542.65,30,-544.5,155.94,-700.44,Flip,2026-03
20260309,CE,55900,LONG,2026-03-09 12:48:00.087000+05:30,2026-03-09 12:54:00.407000+05:30,1542.65,1550.0,30,220.5,157.41,63.09,Flip,2026-03
20260309,CE,55900,SHORT,2026-03-09 12:54:00.407000+05:30,2026-03-09 13:09:00.326000+05:30,1550.0,1576.2,30,-786.0,157.86,-943.86,Flip,2026-03
20260309,CE,55900,LONG,2026-03-09 13:09:00.326000+05:30,2026-03-09 13:21:00.321000+05:30,1576.2,1597.65,30,643.5,160.61,482.89,Flip,2026-03
20260309,CE,55900,SHORT,2026-03-09 13:21:00.321000+05:30,2026-03-09 13:23:00.296000+05:30,1597.65,1556.05,30,1248.0,160.33,1087.67,Flip,2026-03
20260309,CE,55900,LONG,2026-03-09 13:23:00.296000+05:30,2026-03-09 13:27:00.912000+05:30,1556.05,1595.45,30,1182.0,160.21,1021.79,Flip,2026-03
20260309,CE,55900,SHORT,2026-03-09 13:27:00.912000+05:30,2026-03-09 13:46:00.071000+05:30,1595.45,1612.5,30,-511.5,160.97,-672.47,Flip,2026-03
20260309,CE,55900,LONG,2026-03-09 13:46:00.071000+05:30,2026-03-09 13:53:00.359000+05:30,1612.5,1602.3,30,-306.0,161.37,-467.37,Flip,2026-03
20260309,CE,55900,SHORT,2026-03-09 13:53:00.359000+05:30,2026-03-09 13:59:00.564000+05:30,1602.3,1560.2,30,1263.0,160.66,1102.34,Flip,2026-03
20260309,CE,55900,LONG,2026-03-09 13:59:00.564000+05:30,2026-03-09 14:11:00.032000+05:30,1560.2,1547.35,30,-385.5,157.49,-542.99,Flip,2026-03
20260309,CE,55900,SHORT,2026-03-09 14:11:00.032000+05:30,2026-03-09 14:15:00.233000+05:30,1547.35,1520.3,30,811.5,156.95,654.55,Flip,2026-03
20260309,CE,55900,LONG,2026-03-09 14:15:00.233000+05:30,2026-03-09 14:23:00.122000+05:30,1520.3,1516.8,30,-105.0,155.19,-260.19,Flip,2026-03
20260309,CE,55900,SHORT,2026-03-09 14:23:00.122000+05:30,2026-03-09 14:31:00.752000+05:30,1516.8,1520.0,30,-96.0,155.19,-251.19,Flip,2026-03
20260309,CE,55900,LONG,2026-03-09 14:31:00.752000+05:30,2026-03-09 14:33:00.524000+05:30,1520.0,1554.95,30,1048.5,157.38,891.12,Flip,2026-03
20260309,CE,55900,SHORT,2026-03-09 14:33:00.524000+05:30,2026-03-09 14:35:00.492000+05:30,1554.95,1519.1,30,1075.5,157.37,918.13,Flip,2026-03
20260309,CE,55900,LONG,2026-03-09 14:35:00.492000+05:30,2026-03-09 14:40:00.367000+05:30,1519.1,1555.0,30,1077.0,157.38,919.62,Flip,2026-03
20260309,CE,55900,SHORT,2026-03-09 14:40:00.367000+05:30,2026-03-09 14:50:00.555000+05:30,1555.0,1630.6,30,-2268.0,158.88,-2426.88,Flip,2026-03
20260309,CE,55900,LONG,2026-03-09 14:50:00.555000+05:30,2026-03-09 14:55:00.382000+05:30,1630.6,1634.55,30,118.5,163.47,-44.97,Flip,2026-03
20260309,CE,55900,SHORT,2026-03-09 14:55:00.382000+05:30,2026-03-09 15:01:00.625000+05:30,1634.55,1592.85,30,1251.0,162.96,1088.04,Flip,2026-03
20260309,CE,55900,LONG,2026-03-09 15:01:00.625000+05:30,2026-03-09 15:03:00.604000+05:30,1592.85,1632.8,30,1198.5,162.86,1035.64,Flip,2026-03
20260309,CE,55900,SHORT,2026-03-09 15:03:00.604000+05:30,2026-03-09 15:08:00.645000+05:30,1632.8,1629.6,30,96.0,163.35,-67.35,Flip,2026-03
20260309,CE,55900,LONG,2026-03-09 15:08:00.645000+05:30,2026-03-09 15:12:00.570000+05:30,1629.6,1674.0,30,1332.0,165.73,1166.27,Flip,2026-03
20260309,CE,55900,SHORT,2026-03-09 15:12:00.570000+05:30,2026-03-09 15:17:00.443000+05:30,1674.0,1677.2,30,-96.0,166.37,-262.37,Flip,2026-03
20260309,CE,55900,LONG,2026-03-09 15:17:00.443000+05:30,2026-03-09 15:25:59.075000+05:30,1677.2,1660.85,30,-490.5,165.62,-656.12,EOD,2026-03
20260309,PE,55900,LONG,2026-03-09 09:31:00.621000+05:30,2026-03-09 09:33:00.401000+05:30,1448.0,1489.45,30,1243.5,152.64,1090.86,Flip,2026-03
20260309,PE,55900,SHORT,2026-03-09 09:33:00.401000+05:30,2026-03-09 09:48:00.291000+05:30,1489.45,1615.2,30,-3772.5,154.9,-3927.4,Flip,2026-03
20260309,PE,55900,LONG,2026-03-09 09:48:00.291000+05:30,2026-03-09 10:00:00.071000+05:30,1615.2,1590.0,30,-756.0,160.69,-916.69,Flip,2026-03
20260309,PE,55900,SHORT,2026-03-09 10:00:00.071000+05:30,2026-03-09 10:07:00.087000+05:30,1590.0,1560.95,30,871.5,159.96,711.54,Flip,2026-03
20260309,PE,55900,LONG,2026-03-09 10:07:00.087000+05:30,2026-03-09 10:13:00.055000+05:30,1560.95,1516.45,30,-1335.0,155.72,-1490.72,Flip,2026-03
20260309,PE,55900,SHORT,2026-03-09 10:13:00.055000+05:30,2026-03-09 10:22:00.213000+05:30,1516.45,1549.95,30,-1005.0,155.57,-1160.57,Flip,2026-03
20260309,PE,55900,LONG,2026-03-09 10:22:00.213000+05:30,2026-03-09 10:25:00.281000+05:30,1549.95,1582.4,30,973.5,159.37,814.13,Flip,2026-03
20260309,PE,55900,SHORT,2026-03-09 10:25:00.281000+05:30,2026-03-09 10:38:00.894000+05:30,1582.4,1586.5,30,-123.0,159.87,-282.87,Flip,2026-03
20260309,PE,55900,LONG,2026-03-09 10:38:00.894000+05:30,2026-03-09 10:40:00.255000+05:30,1586.5,1614.95,30,853.5,161.74,691.76,Flip,2026-03
20260309,PE,55900,SHORT,2026-03-09 10:40:00.255000+05:30,2026-03-09 10:51:00.254000+05:30,1614.95,1554.25,30,1821.0,161.31,1659.69,Flip,2026-03
20260309,PE,55900,LONG,2026-03-09 10:51:00.254000+05:30,2026-03-09 10:56:00.397000+05:30,1554.25,1432.0,30,-3667.5,150.76,-3818.26,Flip,2026-03
20260309,PE,55900,SHORT,2026-03-09 10:56:00.397000+05:30,2026-03-09 10:57:00.091000+05:30,1432.0,1335.25,30,2902.5,147.8,2754.7,Flip,2026-03
20260309,PE,55900,LONG,2026-03-09 10:57:00.091000+05:30,2026-03-09 11:01:00.040000+05:30,1335.25,1400.4,30,1954.5,145.98,1808.52,Flip,2026-03
20260309,PE,55900,SHORT,2026-03-09 11:01:00.040000+05:30,2026-03-09 11:14:00.155000+05:30,1400.4,1455.5,30,-1653.0,147.6,-1800.6,Flip,2026-03
20260309,PE,55900,LONG,2026-03-09 11:14:00.155000+05:30,2026-03-09 11:33:00.292000+05:30,1455.5,1326.1,30,-3882.0,143.32,-4025.32,Flip,2026-03
20260309,PE,55900,SHORT,2026-03-09 11:33:00.292000+05:30,2026-03-09 11:41:00.103000+05:30,1326.1,1269.9,30,1686.0,140.81,1545.19,Flip,2026-03
20260309,PE,55900,LONG,2026-03-09 11:41:00.103000+05:30,2026-03-09 11:43:00.467000+05:30,1269.9,1311.55,30,1249.5,139.97,1109.53,Flip,2026-03
20260309,PE,55900,SHORT,2026-03-09 11:43:00.467000+05:30,2026-03-09 11:48:00.348000+05:30,1311.55,1324.25,30,-381.0,140.71,-521.71,Flip,2026-03
20260309,PE,55900,LONG,2026-03-09 11:48:00.348000+05:30,2026-03-09 11:49:01.037000+05:30,1324.25,1359.7,30,1063.5,143.48,920.02,Flip,2026-03
20260309,PE,55900,SHORT,2026-03-09 11:49:01.037000+05:30,2026-03-09 12:05:00.204000+05:30,1359.7,1381.05,30,-640.5,144.25,-784.75,Flip,2026-03
20260309,PE,55900,LONG,2026-03-09 12:05:00.204000+05:30,2026-03-09 12:10:00.209000+05:30,1381.05,1428.0,30,1408.5,148.19,1260.31,Flip,2026-03
20260309,PE,55900,SHORT,2026-03-09 12:10:00.209000+05:30,2026-03-09 12:12:00.395000+05:30,1428.0,1403.2,30,744.0,148.49,595.51,Flip,2026-03
20260309,PE,55900,LONG,2026-03-09 12:12:00.395000+05:30,2026-03-09 12:21:00.574000+05:30,1403.2,1436.35,30,994.5,148.97,845.53,Flip,2026-03
20260309,PE,55900,SHORT,2026-03-09 12:21:00.574000+05:30,2026-03-09 12:25:00.704000+05:30,1436.35,1412.65,30,711.0,149.1,561.9,Flip,2026-03
20260309,PE,55900,LONG,2026-03-09 12:25:00.704000+05:30,2026-03-09 12:34:00.075000+05:30,1412.65,1421.65,30,270.0,148.25,121.75,Flip,2026-03
20260309,PE,55900,SHORT,2026-03-09 12:34:00.075000+05:30,2026-03-09 12:38:00.033000+05:30,1421.65,1416.35,30,159.0,148.3,10.7,Flip,2026-03
20260309,PE,55900,LONG,2026-03-09 12:38:00.033000+05:30,2026-03-09 12:49:00.321000+05:30,1416.35,1403.8,30,-376.5,147.27,-523.77,Flip,2026-03
20260309,PE,55900,SHORT,2026-03-09 12:49:00.321000+05:30,2026-03-09 12:54:00.202000+05:30,1403.8,1391.05,30,382.5,146.93,235.57,Flip,2026-03
20260309,PE,55900,LONG,2026-03-09 12:54:00.202000+05:30,2026-03-09 13:04:00.027000+05:30,1391.05,1374.95,30,-483.0,145.27,-628.27,Flip,2026-03
20260309,PE,55900,SHORT,2026-03-09 13:04:00.027000+05:30,2026-03-09 13:20:00.488000+05:30,1374.95,1413.6,30,-1159.5,145.57,-1305.07,Flip,2026-03
20260309,PE,55900,LONG,2026-03-09 13:20:00.488000+05:30,2026-03-09 13:22:00.277000+05:30,1413.6,1432.5,30,567.0,148.89,418.11,Flip,2026-03
