date,pair,width,o1,o2,atm_strike,k1_strike,k2_strike,entry_bar,exit_bar,hold_bars,lot_size,entry_ce_k1,entry_ce_k2,entry_pe_k1,entry_pe_k2,exit_ce_k1,exit_ce_k2,exit_pe_k1,exit_pe_k2,entry_box,exit_box,entry_msp,exit_msp,gross_pnl,charges,net_pnl,exit_reason
20260217,"(-3,-2)  w=100",100,-3,-2,13600,13300,13400,2026-02-17 14:13:00+05:30,2026-02-17 14:14:00+05:30,1,120,422.5,308.1,34.25,51.75,393.0,308.1,35.0,52.25,131.9,102.15,31.9,2.15,3570.0,419.86,3150.14,Revert
20260217,"(-3,-2)  w=100",100,-3,-2,13600,13300,13400,2026-02-17 14:38:00+05:30,2026-02-17 14:56:00+05:30,18,120,369.85,308.0,34.2,51.35,394.4,310.1,35.3,53.0,79.0,102.0,-21.0,2.0,2760.0,412.32,2347.68,Revert
20260218,"(-3,-2)  w=100",100,-3,-2,13700,13400,13500,2026-02-18 10:34:00+05:30,2026-02-18 10:39:00+05:30,5,120,300.0,240.65,36.9,57.5,320.5,239.2,36.5,57.8,79.95,102.6,-20.05,2.6,2718.0,374.27,2343.73,Revert
20260219,"(-3,-2)  w=100",100,-3,-2,13700,13400,13500,2026-02-19 09:31:00+05:30,2026-02-19 09:35:00+05:30,4,120,341.7,235.65,19.0,34.75,326.0,241.0,18.6,33.0,121.8,99.4,21.8,-0.6,2688.0,368.64,2319.36,Revert
20260220,"(-3,-2)  w=100",100,-3,-2,13400,13100,13200,2026-02-20 09:33:00+05:30,2026-02-20 09:44:00+05:30,11,120,328.1,274.4,20.85,33.1,387.55,300.0,19.2,30.2,65.95,98.55,-34.05,-1.45,3912.0,390.0,3522.0,Revert
20260220,"(-3,-2)  w=100",100,-3,-2,13400,13100,13200,2026-02-20 09:51:00+05:30,2026-02-20 09:52:00+05:30,1,120,419.85,349.75,16.2,24.8,419.85,327.0,17.35,26.85,78.7,102.35,-21.3,2.35,2838.0,418.85,2419.15,Revert
20260220,"(-3,-2)  w=100",100,-3,-2,13400,13100,13200,2026-02-20 10:07:00+05:30,2026-02-20 10:27:00+05:30,20,120,419.85,301.75,21.25,32.6,412.0,321.0,19.3,30.05,129.45,101.75,29.45,1.75,3324.0,412.96,2911.04,Revert
20260220,"(-3,-2)  w=100",100,-3,-2,13400,13100,13200,2026-02-20 11:09:00+05:30,2026-02-20 12:51:00+05:30,102,120,420.0,299.05,23.75,36.0,402.0,309.55,20.85,31.2,133.2,102.8,33.2,2.8,3648.0,411.01,3236.99,Revert
20260220,"(-3,-2)  w=100",100,-3,-2,13400,13100,13200,2026-02-20 12:58:00+05:30,2026-02-20 13:09:00+05:30,11,120,402.0,292.25,22.2,33.25,380.0,291.6,22.65,34.4,120.8,100.15,20.8,0.15,2478.0,401.03,2076.97,Revert
20260220,"(-3,-2)  w=100",100,-3,-2,13400,13100,13200,2026-02-20 13:28:00+05:30,2026-02-20 14:31:00+05:30,63,120,368.0,300.0,19.8,30.3,413.0,320.0,17.0,25.0,78.5,101.0,-21.5,1.0,2700.0,403.3,2296.7,Revert
