date,entry_bar,exit_bar,hold_bars,direction,atm_strike,entry_ce,entry_pe,entry_fut,exit_ce,exit_pe,exit_fut,entry_spread,exit_spread,lot_size,gross_pnl,charges,net_pnl,exit_reason,month
20260320,2026-03-20 12:47:00+05:30,2026-03-20 12:51:00+05:30,4,-1 (long synth),54400,743.75,1193.6,53989.0,724.55,1201.25,53924.2,-38.85,-0.9,30,1138.5,1197.56,-59.06,Revert,2026-03
20260320,2026-03-20 13:34:00+05:30,2026-03-20 13:35:00+05:30,1,+1 (short synth),54400,748.85,1114.15,54002.6,743.75,1130.75,54010.0,32.1,3.0,30,873.0,1192.51,-319.51,Revert,2026-03
20260320,2026-03-20 13:48:00+05:30,2026-03-20 13:49:00+05:30,1,+1 (short synth),54400,685.0,1188.7,53860.0,681.7,1214.05,53872.2,36.3,-4.55,30,1225.5,1190.84,34.66,Revert,2026-03
20260320,2026-03-20 14:06:00+05:30,2026-03-20 14:07:00+05:30,1,+1 (short synth),54400,717.0,1158.55,53929.2,705.45,1185.3,53921.0,29.25,-0.85,30,903.0,1192.15,-289.15,Revert,2026-03
20260320,2026-03-20 14:12:00+05:30,2026-03-20 14:20:00+05:30,8,+1 (short synth),54400,690.65,1170.0,53873.4,671.0,1226.45,53847.4,47.25,-2.85,30,1503.0,1190.14,312.86,Revert,2026-03
20260320,2026-03-20 14:51:00+05:30,2026-03-20 14:54:00+05:30,3,+1 (short synth),54400,562.75,1400.2,53527.2,561.15,1429.6,53536.4,35.35,-4.85,30,1206.0,1191.53,14.47,Revert,2026-03
20260320,2026-03-20 15:08:00+05:30,2026-03-20 15:09:00+05:30,1,+1 (short synth),54400,574.6,1321.75,53622.0,565.75,1349.75,53617.8,30.85,-1.8,30,979.5,1188.41,-208.91,Revert,2026-03
20260320,2026-03-20 15:10:00+05:30,2026-03-20 15:14:00+05:30,4,+1 (short synth),54400,528.35,1349.0,53500.0,536.65,1405.8,53531.4,79.35,-0.55,30,2397.0,1184.98,1212.02,Revert,2026-03
20260320,2026-03-20 15:16:00+05:30,2026-03-20 15:18:00+05:30,2,+1 (short synth),54400,513.35,1429.5,53454.0,511.5,1469.0,53440.6,29.85,1.9,30,838.5,1188.86,-350.36,Revert,2026-03
20260320,2026-03-20 15:21:00+05:30,2026-03-20 15:23:00+05:30,2,-1 (long synth),54400,545.6,1400.0,53572.0,527.45,1413.25,53517.8,-26.4,-3.6,30,684.0,1191.06,-507.06,Revert,2026-03
