date,opt_type,direction,strike,entry_time,exit_time,opt_entry,opt_exit,lot_size,gross_pnl,charges,pnl,exit_reason,month
20260203,CE,LONG,25800,2026-02-03 12:28:00.556000+05:30,2026-02-03 13:45:00.875000+05:30,66.7,54.75,65,-776.75,55.99,-832.74,Flip,2026-02
20260203,CE,SHORT,25800,2026-02-03 13:45:00.875000+05:30,2026-02-03 14:49:00.619000+05:30,54.75,13.0,65,2713.75,54.42,2659.33,Flip,2026-02
20260203,PE,LONG,25800,2026-02-03 10:35:00.252000+05:30,2026-02-03 12:30:00.752000+05:30,98.45,78.85,65,-1274.0,59.93,-1333.93,Flip,2026-02
20260203,PE,SHORT,25800,2026-02-03 12:30:00.752000+05:30,2026-02-03 13:47:00.643000+05:30,78.85,39.55,65,2554.5,58.21,2496.29,Flip,2026-02
20260203,PE,SHORT,25800,2026-02-03 14:33:00.441000+05:30,2026-02-03 15:25:59.834000+05:30,78.35,72.85,65,357.5,59.12,298.38,EOD,2026-02
20260204,CE,LONG,25650,2026-02-04 11:12:00.394000+05:30,2026-02-04 13:25:00.264000+05:30,213.8,229.85,65,1043.25,82.17,961.08,Flip,2026-02
20260204,CE,SHORT,25650,2026-02-04 13:25:00.264000+05:30,2026-02-04 15:22:00.410000+05:30,229.85,234.0,65,-269.75,82.76,-352.51,Flip,2026-02
20260204,CE,LONG,25650,2026-02-04 15:22:00.410000+05:30,2026-02-04 15:25:59.755000+05:30,234.0,233.55,65,-29.25,83.22,-112.47,EOD,2026-02
20260204,PE,LONG,25650,2026-02-04 12:11:00.799000+05:30,2026-02-04 15:08:00.672000+05:30,111.6,97.2,65,-936.0,62.61,-998.61,Flip,2026-02
20260204,PE,SHORT,25650,2026-02-04 15:08:00.672000+05:30,2026-02-04 15:25:59.556000+05:30,97.2,108.8,65,-754.0,62.53,-816.53,EOD,2026-02
20260205,CE,LONG,25700,2026-02-05 10:39:00.867000+05:30,2026-02-05 14:56:00.426000+05:30,121.5,114.75,65,-438.75,65.09,-503.84,Flip,2026-02
20260205,CE,SHORT,25700,2026-02-05 14:56:00.426000+05:30,2026-02-05 15:25:58.959000+05:30,114.75,113.5,65,81.25,64.86,16.39,EOD,2026-02
20260205,PE,LONG,25700,2026-02-05 11:44:00.352000+05:30,2026-02-05 12:18:01.098000+05:30,140.9,171.45,65,1985.75,72.74,1913.01,Flip,2026-02
20260205,PE,SHORT,25700,2026-02-05 12:18:01.098000+05:30,2026-02-05 14:56:00.425000+05:30,171.45,154.75,65,1085.5,73.15,1012.35,Flip,2026-02
20260205,PE,LONG,25700,2026-02-05 14:56:00.425000+05:30,2026-02-05 15:25:58.959000+05:30,154.75,157.95,65,208.0,71.46,136.54,EOD,2026-02
20260206,CE,LONG,25600,2026-02-06 10:30:00.148000+05:30,2026-02-06 11:11:00.840000+05:30,76.4,94.95,65,1205.75,61.3,1144.45,Flip,2026-02
20260206,CE,SHORT,25600,2026-02-06 11:11:00.840000+05:30,2026-02-06 12:22:00.484000+05:30,94.95,101.45,65,-422.5,62.03,-484.53,Flip,2026-02
20260206,CE,LONG,25600,2026-02-06 12:22:00.484000+05:30,2026-02-06 13:49:00.163000+05:30,101.45,101.7,65,16.25,62.87,-46.62,Flip,2026-02
20260206,CE,SHORT,25600,2026-02-06 13:49:00.163000+05:30,2026-02-06 15:25:59.195000+05:30,101.7,146.0,65,-2879.5,64.18,-2943.68,EOD,2026-02
20260206,PE,LONG,25600,2026-02-06 11:15:00.913000+05:30,2026-02-06 12:22:00.484000+05:30,121.85,111.85,65,-650.0,64.74,-714.74,Flip,2026-02
20260206,PE,SHORT,25600,2026-02-06 12:22:00.484000+05:30,2026-02-06 13:39:00.265000+05:30,111.85,106.6,65,341.25,64.29,276.96,Flip,2026-02
