date,opt_type,strike,entry_time,exit_time,opt_entry,opt_exit,max_price,lot_size,gross_pnl,charges,pnl,exit_reason,month
20251210,PE,25850,2025-12-10 13:57:00.991000+05:30,2025-12-10 14:29:06.147000+05:30,138.1,173.3,173.3,75,2640.0,76.84,2563.16,DPT,2025-12
20251211,CE,25750,2025-12-11 12:02:00.302000+05:30,2025-12-11 12:27:35.356000+05:30,201.75,238.5,238.5,75,2756.25,88.39,2667.86,DPT,2025-12
20251211,PE,25750,2025-12-11 11:05:00.635000+05:30,2025-12-11 12:02:00.302000+05:30,89.55,55.75,90.2,75,-2535.0,58.26,-2593.26,Flip,2025-12
20251211,PE,25750,2025-12-11 13:13:00.834000+05:30,2025-12-11 14:21:00.076000+05:30,56.65,40.35,56.95,75,-1222.5,54.93,-1277.43,Flip,2025-12
20251212,CE,26000,2025-12-12 11:22:00.328000+05:30,2025-12-12 12:12:00.663000+05:30,106.65,95.25,119.05,75,-855.0,64.53,-919.53,Flip,2025-12
20251212,CE,26000,2025-12-12 14:09:00.975000+05:30,2025-12-12 15:25:59.181000+05:30,123.35,112.1,124.2,75,-843.75,67.52,-911.27,EOD,2025-12
20251216,PE,25950,2025-12-16 14:08:00.409000+05:30,2025-12-16 15:25:59.259000+05:30,62.35,88.65,95.75,75,1972.5,62.08,1910.42,EOD,2025-12
20251217,CE,25850,2025-12-17 15:01:01.014000+05:30,2025-12-17 15:25:59.724000+05:30,120.0,123.75,124.65,75,281.25,69.09,212.16,EOD,2025-12
20251219,CE,25900,2025-12-19 12:40:00.203000+05:30,2025-12-19 13:14:01.498000+05:30,120.45,101.6,121.3,75,-1413.75,65.91,-1479.66,Flip,2025-12
20251219,CE,25900,2025-12-19 13:34:01.179000+05:30,2025-12-19 15:25:59.514000+05:30,121.4,123.6,137.45,75,165.0,69.12,95.88,EOD,2025-12
20251222,CE,26100,2025-12-22 14:35:00.243000+05:30,2025-12-22 15:25:59.587000+05:30,89.95,85.7,90.95,75,-318.75,62.59,-381.34,EOD,2025-12
20251224,PE,26150,2025-12-24 13:12:00.712000+05:30,2025-12-24 15:25:58.459000+05:30,64.9,76.65,86.7,75,881.25,60.44,820.81,EOD,2025-12
20251226,CE,26100,2025-12-26 15:00:00.359000+05:30,2025-12-26 15:25:59.382000+05:30,50.1,48.9,50.6,75,-90.0,55.94,-145.94,EOD,2025-12
20251229,PE,26050,2025-12-29 12:24:00.925000+05:30,2025-12-29 13:37:46.095000+05:30,91.75,126.0,126.0,75,2568.75,68.46,2500.29,DPT,2025-12
20260101,CE,26200,2026-01-01 10:54:00.534000+05:30,2026-01-01 11:44:00.405000+05:30,83.0,65.15,85.35,65,-1160.25,57.77,-1218.02,Flip,2026-01
20260101,CE,26200,2026-01-01 14:17:00.579000+05:30,2026-01-01 15:25:59.558000+05:30,70.85,63.25,75.2,65,-494.0,57.18,-551.18,EOD,2026-01
20260101,PE,26200,2026-01-01 11:47:00.075000+05:30,2026-01-01 14:12:00.121000+05:30,101.25,86.7,113.3,65,-945.75,60.99,-1006.74,Flip,2026-01
