date,pair,direction,entry_ts,exit_ts,hold_secs,entry_msp,exit_close_msp,entry_exec,exit_exec,lot_size,units,gross_pnl,exit_why,cum_pnl
20260127,"(-1,+0)",1,2026-01-27 09:22:55+05:30,2026-01-27 09:22:57+05:30,2.0,9.08,2.45,59.08,47.55,65,130,1498.25,Revert,74262.5
20260127,"(+0,+1)",1,2026-01-27 09:22:58+05:30,2026-01-27 09:22:59+05:30,1.0,8.35,-0.1,58.35,50.18,65,130,1062.75,Revert,75325.25
20260127,"(-1,+0)",-1,2026-01-27 09:25:10+05:30,2026-01-27 09:25:11+05:30,1.0,8.47,-0.4,41.53,49.57,65,130,1046.5,Revert,76371.75
20260127,"(-1,+1)",1,2026-01-27 09:26:24+05:30,2026-01-27 09:26:26+05:30,2.0,10.9,1.9,110.9,98.13,65,130,1660.75,Revert,78032.5
20260127,"(-1,+1)",-1,2026-01-27 09:28:01+05:30,2026-01-27 09:28:05+05:30,4.0,8.1,-0.2,91.9,99.8,65,130,1027.0,Revert,79059.5
20260127,"(-1,+1)",1,2026-01-27 09:31:04+05:30,2026-01-27 09:31:05+05:30,1.0,10.15,0.95,110.15,99.05,65,130,1443.0,Revert,80502.5
20260127,"(-1,+1)",-1,2026-01-27 09:37:05+05:30,2026-01-27 09:37:06+05:30,1.0,8.58,1.85,91.42,101.85,65,130,1355.25,Revert,81857.75
20260127,"(-1,+1)",1,2026-01-27 09:38:16+05:30,2026-01-27 09:38:18+05:30,2.0,10.17,3.3,110.17,96.7,65,130,1751.75,Revert,83609.5
20260127,"(-1,+1)",1,2026-01-27 09:38:19+05:30,2026-01-27 09:38:22+05:30,3.0,10.58,1.5,110.58,98.53,65,130,1566.5,Revert,85176.0
20260127,"(+0,+1)",-1,2026-01-27 09:39:27+05:30,2026-01-27 09:39:29+05:30,2.0,11.25,-0.0,38.75,49.97,65,130,1459.25,Revert,86635.25
20260127,"(-1,+1)",1,2026-01-27 09:42:06+05:30,2026-01-27 09:42:08+05:30,2.0,8.57,3.6,108.57,96.4,65,130,1582.75,Revert,88218.0
20260127,"(+0,+1)",1,2026-01-27 09:43:26+05:30,2026-01-27 09:43:27+05:30,1.0,14.12,1.65,64.12,48.35,65,130,2050.75,Revert,90268.75
20260127,"(+0,+1)",1,2026-01-27 10:09:02+05:30,2026-01-27 10:09:03+05:30,1.0,8.2,-0.05,58.2,50.07,65,130,1056.25,Revert,91325.0
20260127,"(-1,+1)",1,2026-01-27 10:16:12+05:30,2026-01-27 10:16:13+05:30,1.0,10.75,0.3,110.75,99.7,65,130,1436.5,Revert,92761.5
20260127,"(+0,+1)",-1,2026-01-27 10:30:00+05:30,2026-01-27 10:30:01+05:30,1.0,10.4,0.05,39.6,50.05,65,130,1358.5,Revert,94120.0
20260127,"(+0,+1)",-1,2026-01-27 11:08:04+05:30,2026-01-27 11:08:06+05:30,2.0,9.42,-0.8,40.58,49.2,65,130,1121.25,Revert,95241.25
20260127,"(-1,+0)",1,2026-01-27 11:09:34+05:30,2026-01-27 11:09:35+05:30,1.0,19.85,0.35,69.85,49.65,65,130,2626.0,Revert,97867.25
20260127,"(-1,+0)",1,2026-01-27 11:17:01+05:30,2026-01-27 11:17:02+05:30,1.0,8.05,0.3,58.05,49.73,65,130,1082.25,Revert,98949.5
20260127,"(+0,+1)",-1,2026-01-27 11:21:31+05:30,2026-01-27 11:21:32+05:30,1.0,12.4,0.4,37.6,50.4,65,130,1664.0,Revert,100613.5
20260127,"(-1,+1)",1,2026-01-27 11:26:48+05:30,2026-01-27 11:26:50+05:30,2.0,11.05,-0.1,111.05,100.1,65,130,1423.5,Revert,102037.0
20260127,"(+0,+1)",-1,2026-01-27 11:45:21+05:30,2026-01-27 11:45:23+05:30,2.0,8.55,-0.85,41.45,49.15,65,130,1001.0,Revert,103038.0
20260127,"(-1,+1)",1,2026-01-27 12:31:10+05:30,2026-01-27 12:31:12+05:30,2.0,8.3,0.6,108.3,99.4,65,130,1157.0,Revert,104195.0
20260127,"(-1,+1)",1,2026-01-27 13:52:55+05:30,2026-01-27 13:52:56+05:30,1.0,8.1,0.0,108.1,100.0,65,130,1053.0,Revert,105248.0
20260128,"(-1,+1)",1,2026-01-28 09:18:34+05:30,2026-01-28 09:18:37+05:30,3.0,8.55,0.25,108.55,99.93,65,130,1121.25,Revert,106369.25
20260128,"(-1,+1)",-1,2026-01-28 09:20:09+05:30,2026-01-28 09:20:11+05:30,2.0,10.75,0.6,89.25,100.6,65,130,1475.5,Revert,107844.75
20260128,"(+0,+1)",-1,2026-01-28 09:26:52+05:30,2026-01-28 09:26:53+05:30,1.0,10.2,0.75,39.8,50.75,65,130,1423.5,Revert,109268.25
20260128,"(+0,+1)",-1,2026-01-28 10:09:00+05:30,2026-01-28 10:09:03+05:30,3.0,8.55,0.1,41.45,50.1,65,130,1124.5,Revert,110392.75
20260128,"(+0,+1)",1,2026-01-28 13:48:29+05:30,2026-01-28 13:48:30+05:30,1.0,9.55,0.0,59.55,50.05,65,130,1235.0,Revert,111627.75
20260130,"(+0,+1)",-1,2026-01-30 09:54:26+05:30,2026-01-30 09:54:27+05:30,1.0,10.37,-0.45,39.63,49.5,65,130,1283.75,Revert,112911.5
20260130,"(+0,+1)",-1,2026-01-30 13:15:03+05:30,2026-01-30 13:15:04+05:30,1.0,14.32,-0.95,35.68,49.05,65,130,1738.75,Revert,114650.25
20260130,"(-1,+1)",-1,2026-01-30 14:42:13+05:30,2026-01-30 14:42:14+05:30,1.0,9.53,-1.0,90.48,98.95,65,130,1101.75,Revert,115752.0
