date,opt_type,strike,entry_time,exit_time,opt_entry,opt_exit,lot_size,gross_pnl,charges,pnl,exit_reason,month
20260101,PE,26200,2026-01-01 14:12:00.121000+05:30,2026-01-01 14:22:35.794000+05:30,86.7,88.5,65,-117.0,60.62,-177.62,Flip,2026-01
20260102,CE,26150,2026-01-02 14:34:00.269000+05:30,2026-01-02 14:51:01.107000+05:30,174.35,173.9,65,29.25,74.07,-44.82,Flip,2026-01
20260105,PE,26350,2026-01-05 10:11:00.458000+05:30,2026-01-05 10:41:34.299000+05:30,60.55,55.65,65,318.5,56.39,262.11,Flip,2026-01
20260105,PE,26350,2026-01-05 14:52:00.143000+05:30,2026-01-05 15:00:57.580000+05:30,114.25,127.7,65,-874.25,65.21,-939.46,Flip,2026-01
20260106,PE,26250,2026-01-06 12:58:00.431000+05:30,2026-01-06 13:03:21.757000+05:30,69.95,74.15,65,-273.0,58.11,-331.11,Flip,2026-01
20260106,PE,26250,2026-01-06 14:51:00.229000+05:30,2026-01-06 15:25:59.802000+05:30,78.6,70.8,65,507.0,59.09,447.91,EOD,2026-01
20260107,CE,26100,2026-01-07 11:54:00.265000+05:30,2026-01-07 13:01:44.415000+05:30,137.2,118.55,65,1212.25,67.81,1144.44,Flip,2026-01
20260107,PE,26100,2026-01-07 14:54:00.642000+05:30,2026-01-07 15:16:08.212000+05:30,72.3,68.35,65,256.75,58.23,198.52,Flip,2026-01
20260108,CE,26100,2026-01-08 11:03:00.477000+05:30,2026-01-08 11:38:49.173000+05:30,66.85,62.3,65,295.75,57.37,238.38,Flip,2026-01
20260108,PE,26100,2026-01-08 13:57:00.735000+05:30,2026-01-08 14:08:14.174000+05:30,175.25,187.0,65,-763.75,74.57,-838.32,Flip,2026-01
20260109,CE,25900,2026-01-09 11:15:00.335000+05:30,2026-01-09 11:31:39.462000+05:30,60.35,64.7,65,-282.75,56.63,-339.38,Flip,2026-01
20260109,PE,25900,2026-01-09 15:08:00.377000+05:30,2026-01-09 15:25:59.942000+05:30,207.85,212.05,65,-273.0,79.37,-352.37,EOD,2026-01
