date,opt_type,strike,entry_time,exit_time,opt_entry,opt_exit,lot_size,gross_pnl,charges,pnl,exit_reason,month
20260107,PE,26100,2026-01-07 11:55:00.098000+05:30,2026-01-07 12:57:37.367000+05:30,75.45,83.3,65,510.25,59.81,450.44,Flip,2026-01
20260108,PE,26100,2026-01-08 15:04:01.021000+05:30,2026-01-08 15:25:59.679000+05:30,209.25,216.85,65,494.0,80.41,413.59,EOD,2026-01
20260113,PE,25850,2026-01-13 11:54:00.781000+05:30,2026-01-13 11:56:44.260000+05:30,101.55,83.9,65,-1147.25,60.65,-1207.9,Flip,2026-01
20260114,CE,25650,2026-01-14 14:46:00.180000+05:30,2026-01-14 14:57:03.871000+05:30,154.5,146.0,65,-552.5,69.96,-622.46,Flip,2026-01
20260114,PE,25650,2026-01-14 13:25:00.457000+05:30,2026-01-14 14:02:27.029000+05:30,84.25,112.8,65,1855.75,63.76,1791.99,Flip,2026-01
20260116,PE,25700,2026-01-16 11:14:00.058000+05:30,2026-01-16 11:30:20.368000+05:30,57.4,49.35,65,-523.25,55.05,-578.3,Flip,2026-01
20260119,CE,25550,2026-01-19 11:04:00.188000+05:30,2026-01-19 11:09:51.360000+05:30,91.55,78.2,65,-867.75,59.65,-927.4,Flip,2026-01
20260119,CE,25550,2026-01-19 12:58:00.538000+05:30,2026-01-19 13:10:25.487000+05:30,75.25,70.85,65,-286.0,58.25,-344.25,Flip,2026-01
20260120,PE,25550,2026-01-20 12:06:00.307000+05:30,2026-01-20 12:27:30.112000+05:30,109.2,117.9,65,565.5,65.12,500.38,Flip,2026-01
20260121,CE,25150,2026-01-21 11:14:01.086000+05:30,2026-01-21 11:29:36.953000+05:30,143.3,131.95,65,-737.75,67.88,-805.63,Flip,2026-01
20260121,PE,25150,2026-01-21 13:26:00.493000+05:30,2026-01-21 13:38:07.836000+05:30,129.1,127.8,65,-84.5,66.94,-151.44,Flip,2026-01
20260122,CE,25350,2026-01-22 11:26:00.427000+05:30,2026-01-22 11:29:16.159000+05:30,122.55,106.85,65,-1020.5,64.14,-1084.64,Flip,2026-01
