date,entry_bar,exit_bar,hold_bars,direction,atm_strike,box_strike,dte,fair_box,entry_ce_k1,entry_ce_k2,entry_pe_k1,entry_pe_k2,exit_ce_k1,exit_ce_k2,exit_pe_k1,exit_pe_k2,entry_box,exit_box,entry_misprice,exit_misprice,lot_size,gross_pnl,charges,net_pnl,exit_reason,month
20260402,2026-04-02 10:46:00+05:30,2026-04-02 10:51:00+05:30,5,+1 (sell box),50400,50500,26,99.54,1671.85,1612.7,1749.0,1814.7,1646.45,1591.5,1794.0,1837.15,124.85,98.1,25.31,-1.44,30,802.5,677.49,125.01,Revert,2026-04
20260402,2026-04-02 10:53:00+05:30,2026-04-02 10:57:00+05:30,4,-1 (buy box),50400,50500,26,99.54,1665.35,1610.65,1801.0,1807.0,1689.15,1631.4,1737.8,1780.05,60.7,100.0,-38.84,0.46,30,1179.0,677.94,501.06,Revert,2026-04
20260402,2026-04-02 11:18:00+05:30,2026-04-02 11:25:00+05:30,7,-1 (buy box),50400,50500,26,99.54,1666.75,1631.0,1757.05,1786.85,1696.45,1640.45,1745.65,1789.6,65.55,99.95,-33.99,0.41,30,1032.0,677.53,354.47,Revert,2026-04
20260402,2026-04-02 14:00:00+05:30,2026-04-02 14:04:00+05:30,4,-1 (buy box),50400,50500,26,99.54,2108.0,2064.65,1391.0,1427.05,2165.0,2103.3,1370.0,1405.35,79.4,97.05,-20.14,-2.49,30,529.5,688.57,-159.07,Revert,2026-04
20260402,2026-04-02 14:08:00+05:30,2026-04-02 14:10:00+05:30,2,+1 (sell box),50400,50500,26,99.54,2175.15,2095.25,1366.8,1419.0,2220.45,2156.05,1330.8,1368.25,132.1,101.85,32.56,2.31,30,907.5,692.31,215.19,Revert,2026-04
20260402,2026-04-02 14:25:00+05:30,2026-04-02 14:26:00+05:30,1,+1 (sell box),50400,50500,26,99.54,2345.2,2264.6,1227.1,1271.6,2300.0,2230.0,1258.75,1289.9,125.1,101.15,25.56,1.61,30,718.5,694.14,24.36,Revert,2026-04
20260402,2026-04-02 14:36:00+05:30,2026-04-02 14:41:00+05:30,5,+1 (sell box),50400,50500,26,99.54,2374.2,2266.75,1237.15,1274.75,2222.4,2156.85,1307.65,1338.75,145.05,96.65,45.51,-2.89,30,1452.0,694.37,757.63,Revert,2026-04
20260402,2026-04-02 14:47:00+05:30,2026-04-02 14:50:00+05:30,3,-1 (buy box),50400,50500,26,99.54,2256.3,2200.0,1307.15,1327.9,2296.3,2238.65,1263.65,1304.9,77.05,98.9,-22.49,-0.64,30,655.5,694.37,-38.87,Revert,2026-04
20260402,2026-04-02 15:00:00+05:30,2026-04-02 15:04:00+05:30,4,-1 (buy box),50400,50500,26,99.54,2354.8,2321.85,1207.1,1242.05,2455.0,2388.0,1155.0,1190.05,67.9,102.05,-31.64,2.51,30,1024.5,698.87,325.63,Revert,2026-04
20260402,2026-04-02 15:08:00+05:30,2026-04-02 15:11:00+05:30,3,-1 (buy box),50400,50500,26,99.54,2563.95,2524.0,1079.4,1100.0,2585.3,2520.25,1070.5,1103.2,60.55,97.75,-38.99,-1.79,30,1116.0,707.22,408.78,Revert,2026-04
20260402,2026-04-02 15:13:00+05:30,2026-04-02 15:15:00+05:30,2,-1 (buy box),50400,50500,26,99.54,2576.3,2533.85,1078.15,1105.2,2610.0,2538.55,1055.8,1084.35,69.5,100.0,-30.04,0.46,30,915.0,708.34,206.66,Revert,2026-04
20260402,2026-04-02 15:18:00+05:30,2026-04-02 15:21:00+05:30,3,+1 (sell box),50400,50500,26,99.54,2593.4,2503.45,1081.95,1122.0,2507.8,2440.15,1120.35,1152.0,130.0,99.3,30.46,-0.24,30,921.0,706.17,214.83,Revert,2026-04
20260402,2026-04-02 15:22:00+05:30,2026-04-02 15:23:00+05:30,1,-1 (buy box),50400,50500,26,99.54,2467.9,2420.0,1128.75,1159.4,2507.05,2437.45,1130.05,1159.05,78.55,98.6,-20.99,-0.94,30,601.5,701.97,-100.47,Revert,2026-04
20260406,2026-04-06 11:22:00+05:30,2026-04-06 11:28:00+05:30,6,-1 (buy box),51600,51700,22,99.61,1689.5,1645.0,1567.25,1597.85,1736.7,1680.0,1522.7,1565.3,75.1,99.3,-24.51,-0.31,30,726.0,652.06,73.94,Revert,2026-04
20260406,2026-04-06 12:20:00+05:30,2026-04-06 12:23:00+05:30,3,-1 (buy box),51600,51700,22,99.61,1840.35,1810.0,1422.15,1462.2,1871.45,1813.15,1405.7,1446.2,70.4,98.8,-29.21,-0.81,30,852.0,654.53,197.47,Revert,2026-04
20260406,2026-04-06 13:15:00+05:30,2026-04-06 13:23:00+05:30,8,-1 (buy box),51600,51700,22,99.61,2076.7,2021.35,1245.6,1266.85,2150.0,2085.85,1205.1,1241.35,76.6,100.4,-23.01,0.79,30,714.0,662.31,51.69,Revert,2026-04
20260406,2026-04-06 13:54:00+05:30,2026-04-06 13:55:00+05:30,1,-1 (buy box),51600,51700,22,99.61,2121.0,2078.95,1210.35,1247.6,2148.0,2084.65,1214.3,1248.35,79.3,97.4,-20.31,-2.21,30,543.0,664.34,-121.34,Revert,2026-04
20260406,2026-04-06 14:08:00+05:30,2026-04-06 14:13:00+05:30,5,+1 (sell box),51600,51700,22,99.61,2169.85,2090.0,1200.65,1243.0,2211.3,2145.0,1180.55,1215.85,122.2,101.6,22.59,1.99,30,618.0,668.06,-50.06,Revert,2026-04
