date,leg,entry_bar,exit_bar,hold_bars,expiry_date,k0_strike,atm_strike,k2_strike,entry_k0,entry_k1,entry_k2,exit_k0,exit_k1,exit_k2,entry_bf,exit_bf,lot_size,gross_pnl,charges,net_pnl,exit_reason,month
20260324,PE,2026-03-24 11:18:00+05:30,2026-03-24 11:19:00+05:30,1,2026-03-30,52500,52600,52700,1094.9,1173.5,1216.55,1099.0,1147.2,1203.75,-35.55,8.35,30,1317.0,471.9,845.1,Revert,2026-03
20260324,PE,2026-03-24 11:25:00+05:30,2026-03-24 11:27:00+05:30,2,2026-03-30,52500,52600,52700,1110.0,1225.55,1265.85,1107.4,1164.8,1231.5,-75.25,9.3,30,2536.5,481.34,2055.16,Revert,2026-03
20260324,PE,2026-03-24 11:36:00+05:30,2026-03-24 11:40:00+05:30,4,2026-03-30,52500,52600,52700,1065.8,1129.5,1164.6,1084.55,1115.0,1164.6,-28.6,19.15,30,1432.5,461.78,970.72,Revert,2026-03
20260324,PE,2026-03-24 11:41:00+05:30,2026-03-24 11:43:00+05:30,2,2026-03-30,52500,52600,52700,1103.15,1157.0,1164.6,1120.35,1163.35,1223.7,-46.25,17.35,30,1908.0,472.23,1435.77,Revert,2026-03
20260324,PE,2026-03-24 11:48:00+05:30,2026-03-24 11:52:00+05:30,4,2026-03-30,52500,52600,52700,1072.25,1133.05,1164.7,1069.0,1126.9,1184.9,-29.15,0.1,30,877.5,462.87,414.63,Revert,2026-03
20260324,PE,2026-03-24 12:30:00+05:30,2026-03-24 12:31:00+05:30,1,2026-03-30,52500,52600,52700,928.35,999.1,1039.05,921.85,968.75,1023.75,-30.8,8.1,30,1167.0,421.73,745.27,Revert,2026-03
20260325,CE,2026-03-25 12:01:00+05:30,2026-03-25 12:02:00+05:30,1,2026-03-30,53500,53600,53700,1043.35,990.75,917.1,1047.6,983.8,921.0,-21.05,1.0,30,661.5,422.41,239.09,Revert,2026-03
20260330,PE,2026-03-30 15:07:00+05:30,2026-03-30 15:11:00+05:30,4,2026-03-30,51000,51100,51200,821.2,945.35,1046.1,720.5,818.3,923.0,-23.4,6.9,30,909.0,392.7,516.3,Revert,2026-03
20260401,CE,2026-04-01 10:30:00+05:30,2026-04-01 10:31:00+05:30,1,2026-04-28,51900,52000,52100,1449.6,1407.95,1343.65,1464.95,1408.05,1359.15,-22.65,8.0,30,919.5,542.55,376.95,Revert,2026-04
20260401,CE,2026-04-01 10:38:00+05:30,2026-04-01 10:40:00+05:30,2,2026-04-28,51900,52000,52100,1441.4,1406.9,1346.0,1447.2,1400.15,1355.0,-26.4,1.9,30,849.0,540.88,308.12,Revert,2026-04
20260401,CE,2026-04-01 11:30:00+05:30,2026-04-01 11:31:00+05:30,1,2026-04-28,51900,52000,52100,1530.0,1490.6,1430.0,1559.4,1507.15,1462.5,-21.2,7.6,30,864.0,568.42,295.58,Revert,2026-04
20260401,CE,2026-04-01 11:51:00+05:30,2026-04-01 11:52:00+05:30,1,2026-04-28,51900,52000,52100,1521.75,1477.2,1411.5,1538.8,1483.0,1432.1,-21.15,4.9,30,781.5,562.92,218.58,Revert,2026-04
20260401,CE,2026-04-01 14:31:00+05:30,2026-04-01 14:33:00+05:30,2,2026-04-28,51900,52000,52100,1661.3,1622.75,1560.9,1648.7,1590.75,1534.95,-23.3,2.15,30,763.5,598.78,164.72,Revert,2026-04
20260401,CE,2026-04-01 14:52:00+05:30,2026-04-01 14:53:00+05:30,1,2026-04-28,51900,52000,52100,1540.75,1505.65,1430.35,1560.55,1510.0,1467.7,-40.2,8.25,30,1453.5,570.75,882.75,Revert,2026-04
20260401,CE,2026-04-01 14:59:00+05:30,2026-04-01 15:01:00+05:30,2,2026-04-28,51900,52000,52100,1565.0,1522.6,1454.3,1589.0,1533.05,1480.0,-25.9,2.9,30,864.0,576.33,287.67,Revert,2026-04
20260401,PE,2026-04-01 09:39:00+05:30,2026-04-01 09:42:00+05:30,3,2026-04-28,51900,52000,52100,1730.1,1785.45,1817.35,1679.8,1717.45,1756.85,-23.45,1.75,30,756.0,639.95,116.05,Revert,2026-04
20260401,PE,2026-04-01 09:43:00+05:30,2026-04-01 09:44:00+05:30,1,2026-04-28,51900,52000,52100,1687.05,1760.65,1812.85,1712.55,1738.0,1812.85,-21.4,49.4,30,2124.0,642.12,1481.88,Revert,2026-04
20260401,PE,2026-04-01 09:58:00+05:30,2026-04-01 10:00:00+05:30,2,2026-04-28,51900,52000,52100,1650.05,1694.5,1716.55,1602.85,1657.4,1716.55,-22.4,4.6,30,810.0,618.64,191.36,Revert,2026-04
20260401,PE,2026-04-01 10:07:00+05:30,2026-04-01 10:10:00+05:30,3,2026-04-28,51900,52000,52100,1644.75,1696.45,1721.9,1696.95,1737.8,1780.0,-26.25,1.35,30,828.0,630.12,197.88,Revert,2026-04
20260401,PE,2026-04-01 10:17:00+05:30,2026-04-01 10:19:00+05:30,2,2026-04-28,51900,52000,52100,1683.65,1738.55,1767.0,1693.85,1743.95,1804.15,-26.45,10.1,30,1096.5,637.49,459.01,Revert,2026-04
20260401,PE,2026-04-01 10:26:00+05:30,2026-04-01 10:27:00+05:30,1,2026-04-28,51900,52000,52100,1820.65,1887.9,1932.0,1829.5,1870.35,1914.65,-23.15,3.45,30,798.0,676.4,121.6,Revert,2026-04
20260401,PE,2026-04-01 11:15:00+05:30,2026-04-01 11:18:00+05:30,3,2026-04-28,51900,52000,52100,1800.45,1862.0,1896.2,1799.5,1846.95,1903.05,-27.35,8.65,30,1080.0,669.62,410.38,Revert,2026-04
20260401,PE,2026-04-01 11:26:00+05:30,2026-04-01 11:27:00+05:30,1,2026-04-28,51900,52000,52100,1727.65,1795.0,1840.0,1746.5,1770.05,1829.05,-22.35,35.45,30,1734.0,650.75,1083.25,Revert,2026-04
20260401,PE,2026-04-01 11:54:00+05:30,2026-04-01 11:55:00+05:30,1,2026-04-28,51900,52000,52100,1735.4,1788.0,1816.65,1738.95,1777.0,1820.0,-23.95,4.95,30,867.0,648.97,218.03,Revert,2026-04
20260401,PE,2026-04-01 13:31:00+05:30,2026-04-01 13:34:00+05:30,3,2026-04-28,51900,52000,52100,1518.75,1572.15,1605.35,1522.4,1565.8,1619.7,-20.2,10.5,30,921.0,588.55,332.45,Revert,2026-04
20260401,PE,2026-04-01 14:18:00+05:30,2026-04-01 14:19:00+05:30,1,2026-04-28,51900,52000,52100,1548.5,1608.75,1637.8,1546.5,1590.0,1638.2,-31.2,4.7,30,1077.0,596.73,480.27,Revert,2026-04
20260401,PE,2026-04-01 14:22:00+05:30,2026-04-01 14:23:00+05:30,1,2026-04-28,51900,52000,52100,1564.9,1629.4,1663.0,1573.5,1610.25,1657.2,-30.9,10.2,30,1233.0,602.87,630.13,Revert,2026-04
